node_id,community
0,1
1,14
2,50
3,45
4,48
5,42
6,15
7,33
8,57
9,11
10,57
11,39
12,12
13,52
14,16
15,22
16,38
17,44
18,40
19,15
20,29
21,39
22,58
23,19
24,57
25,11
26,6
27,5
28,4
29,4
30,1
31,51
32,55
33,61
34,0
35,58
36,26
37,38
38,21
39,21
40,50
41,15
42,44
43,55
44,19
45,50
46,35
47,12
48,52
49,0
50,9
51,64
52,39
53,11
54,11
55,45
56,48
57,59
58,6
59,56
60,39
61,19
62,28
63,2
64,8
65,50
66,9
67,48
68,28
69,2
70,28
71,40
72,1
73,65
74,65
75,30
76,39
77,27
78,4
79,1
80,14
81,26
82,59
83,15
84,31
85,61
86,50
87,39
88,5
89,64
90,53
91,49
92,11
93,58
94,2
95,12
96,56
97,20
98,3
99,60
100,8
101,37
102,11
103,49
104,2
105,27
106,3
107,11
108,6
109,67
110,25
111,53
112,40
113,21
114,13
115,15
116,19
117,19
118,35
119,4
120,18
121,31
122,11
123,51
124,1
125,37
126,4
127,50
128,26
129,20
130,39
131,2
132,38
133,26
134,51
135,7
136,48
137,51
138,28
139,17
140,49
141,34
142,22
143,43
144,2
145,60
146,61
147,24
148,9
149,17
150,31
151,37
152,29
153,41
154,21
155,56
156,47
157,13
158,15
159,36
160,11
161,5
162,44
163,44
164,47
165,20
166,48
167,21
168,21
169,22
170,45
171,51
172,14
173,53
174,6
175,4
176,45
177,18
178,50
179,16
180,10
181,1
182,15
183,50
184,20
185,14
186,39
187,57
188,2
189,1
190,28
191,0
192,57
193,3
194,40
195,22
196,21
197,25
198,0
199,30
200,56
201,16
202,33
203,18
204,7
205,1
206,46
207,34
208,34
209,12
210,66
211,53
212,8
213,40
214,22
215,2
216,23
217,47
218,9
219,16
220,34
221,59
222,9
223,53
224,36
225,33
226,26
227,20
228,46
229,60
230,4
231,1
232,31
233,28
234,28
235,36
236,3
237,47
238,36
239,22
240,47
241,6
242,44
243,23
244,20
245,2
246,16
247,30
248,17
249,19
250,20
251,61
252,46
253,64
254,45
255,27
256,35
257,32
258,56
259,43
260,29
261,62
262,37
263,29
264,7
265,24
266,1
267,35
268,54
269,13
270,24
271,17
272,0
273,58
274,44
275,63
276,33
277,12
278,8
279,27
280,13
281,14
282,45
283,39
284,43
285,23
286,41
287,9
288,66
289,63
290,39
291,29
292,63
293,54
294,32
295,63
296,52
297,48
298,14
299,16
300,16
301,17
302,35
303,33
304,52
305,30
306,38
307,25
308,35
309,52
310,0
311,31
312,5
313,26
314,24
315,29
316,59
317,44
318,21
319,35
320,60
321,21
322,33
323,13
324,43
325,19
326,7
327,2
328,4
329,17
330,10
331,34
332,26
333,56
334,36
335,0
