community,size,age_mean,age_std,pos_rate_unw,weight_sum,age_mean_w,age_std_w,pos_rate_w,p_male,p_female,p_male_w,p_female_w,p_hisp_plus_others,p_non_hisp_white,p_hisp_plus_others_w,p_non_hisp_white_w
0,1111,85.0,0.0,0.0891089108910891,1146.4017244594538,84.99999999999999,1.4210854715202004e-14,0.07226627080639818,0.3501350135013501,0.6498649864986499,0.3362783883853796,0.6637216116146204,0.18271827182718273,0.8172817281728173,0.17403159824931116,0.8259684017506889
1,612,67.0,0.0,0.1568627450980392,622.5979582753639,67.0,0.0,0.1426217586228419,0.4411764705882353,0.5588235294117647,0.4380878131020167,0.5619121868979834,0.238562091503268,0.761437908496732,0.23892236716401855,0.7610776328359815
2,593,65.0,0.0,0.13659359190556492,596.4107902635577,65.0,0.0,0.12265226433209135,0.5042158516020236,0.4957841483979764,0.4986950322682833,0.5013049677317166,0.27318718381112983,0.7268128161888702,0.26898758525938726,0.7310124147406127
3,592,68.0,0.0,0.15202702702702703,600.1380739940225,68.0,0.0,0.13637761493170375,0.44763513513513514,0.5523648648648649,0.44254788964077846,0.5574521103592216,0.24662162162162163,0.7533783783783784,0.24426018693257592,0.7557398130674241
4,563,70.0,0.0,0.16873889875666073,567.9560169498334,69.99999999999999,1.4210854715202004e-14,0.14914052052405544,0.4493783303730018,0.5506216696269982,0.4471879088969325,0.5528120911030675,0.23268206039076378,0.7673179396092362,0.23238254306034506,0.7676174569396549
5,560,63.0,0.0,0.175,563.5157844065913,63.0,0.0,0.15780959009682044,0.4446428571428571,0.5553571428571429,0.4422176265665055,0.5577823734334946,0.2875,0.7125,0.2860551863383792,0.7139448136616209
6,552,66.0,0.0,0.15760869565217392,556.7824620537932,66.0,0.0,0.14212808972065866,0.49094202898550726,0.5090579710144928,0.4845180818885112,0.5154819181114889,0.24818840579710144,0.7518115942028986,0.24384958183246294,0.7561504181675371
7,551,62.0,0.0,0.19419237749546278,549.9512399048283,62.0,0.0,0.17364998258357525,0.4573502722323049,0.542649727767695,0.45920559248957793,0.540794407510422,0.2885662431941924,0.7114337568058077,0.29009969136260877,0.7099003086373912
8,537,72.0,0.0,0.1303538175046555,544.5854532324854,71.99999999999999,1.4210854715202004e-14,0.11574845670589923,0.46741154562383613,0.5325884543761639,0.4581932976194219,0.541806702380578,0.24022346368715083,0.7597765363128491,0.23416968612585928,0.7658303138741406
9,534,64.0,0.0,0.18164794007490637,539.5339325783373,64.0,0.0,0.16759685705431177,0.4550561797752809,0.5449438202247191,0.4564926283070233,0.5435073716929768,0.2752808988764045,0.7247191011235955,0.27856128015022996,0.7214387198497701
10,527,69.0,0.0,0.13851992409867173,532.8113349040258,69.0,0.0,0.12339432907771357,0.45920303605313095,0.540796963946869,0.45225723904675746,0.5477427609532425,0.2637571157495256,0.7362428842504743,0.258943033337239,0.741056966662761
11,526,61.0,0.0,0.15399239543726237,533.5476050418167,61.000000000000014,1.4210854715202004e-14,0.13824933834338687,0.4296577946768061,0.5703422053231939,0.42579082753162556,0.5742091724683744,0.25665399239543724,0.7433460076045627,0.25523435020872975,0.7447656497912704
12,525,71.0,0.0,0.12761904761904763,531.3284727276408,71.0,0.0,0.1089623191104159,0.43238095238095237,0.5676190476190476,0.42445571097366047,0.5755442890263396,0.24,0.76,0.23436614268550918,0.7656338573144909
13,520,60.0,0.0,0.18461538461538463,518.3873274457288,60.0,0.0,0.167099880007107,0.475,0.525,0.47458130901266954,0.5254186909873305,0.3211538461538462,0.6788461538461539,0.32025654881031795,0.6797434511896822
14,520,73.0,0.0,0.14423076923076922,524.0448431324947,73.0,0.0,0.12217840259842105,0.4115384615384615,0.5884615384615385,0.4032970291446092,0.5967029708553908,0.25961538461538464,0.7403846153846154,0.25254657136360137,0.7474534286363986
15,507,36.0,0.0,0.22485207100591717,504.49082908929927,35.99999999999999,7.105427357601002e-15,0.21431349292216745,0.4339250493096647,0.5660749506903353,0.44680068816245605,0.553199311837544,0.4280078895463511,0.571992110453649,0.4408540983990394,0.5591459016009606
16,505,32.0,0.0,0.2594059405940594,495.3103371823169,32.0,0.0,0.24197935617244806,0.43366336633663366,0.5663366336633663,0.4425439896126418,0.5574560103873581,0.44752475247524753,0.5524752475247525,0.45667654343701997,0.54332345656298
17,498,59.0,0.0,0.17670682730923695,496.10258154874225,59.0,0.0,0.15409898586677281,0.4738955823293173,0.5261044176706827,0.46976334728349434,0.5302366527165058,0.27309236947791166,0.7269076305220884,0.2681921325403294,0.7318078674596706
18,492,58.0,0.0,0.19308943089430894,488.50838304711186,58.0,0.0,0.1696405843934879,0.4654471544715447,0.5345528455284553,0.4687739411381098,0.5312260588618902,0.28252032520325204,0.717479674796748,0.28453964112749897,0.715460358872501
19,482,55.0,0.0,0.2012448132780083,483.1876305159527,55.00000000000001,7.105427357601002e-15,0.19097199544084742,0.487551867219917,0.5124481327800829,0.49164330845126303,0.508356691548737,0.34232365145228216,0.6576763485477178,0.3467720502088836,0.6532279497911164
20,482,74.0,0.0,0.12863070539419086,490.34899944216374,74.0,0.0,0.11161273109866285,0.4190871369294606,0.5809128630705395,0.4113500408074615,0.5886499591925385,0.23029045643153526,0.7697095435684648,0.22576793479006488,0.7742320652099351
21,471,34.0,0.0,0.2526539278131635,464.7995554457411,34.0,0.0,0.23720039008581953,0.4182590233545648,0.5817409766454352,0.42034882096651144,0.5796511790334885,0.4607218683651805,0.5392781316348195,0.4633781220182736,0.5366218779817264
